#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,name,subscribers,views,total_videos
56,Speed Records @UCOsyDsO5tIt-VZ1iwjdQmew,41.1M,-,India,Music,12.3M,,speed records,45000000,30024947948,11778
69,Super Simple Songs - Kids Songs @UCLsooMJoIpl_7ux2jvdPB-Q,37.3M,-,Canada,Travel,11.2M,,super simple songs - kids songs,42800000,52996325280,810
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234M,-,India,,70.2M,UCS94J1s6-qc8v7btCdS2pNg,t-series,276000000,270684359362,21978
84,T-Series Apna Punjab @UCcvNYxWXR_5TjVK7cSCdW-g,33.6M,-,India,,10.1M,,t-series apna punjab,37500000,24613655703,8825
34,T-Series Bhakti Sagar @UCaayLD9i5x4MmIoVZxXSv_g,49.9M,-,,,15M,UC5c9VlYTSvBSCaoMu_GI6gQ,t-series bhakti sagar,71300000,36247764187,28825
77,TEDx Talks @UCsT0YIqwnpJCM-mx7-gSA4Q,35.5M,-,,,10.7M,,tedx talks,41700000,8070987049,223411
37,Taylor Swift @UCqECaJ8Gagnn7YCbPEzWH6g,47.2M,0.4%,,,14.2M,UCam8T03EOFBsNdR0thrFHdQ,taylor swift,60200000,36912943387,276
64,TheEllenShow @UCp0hYYBW6IMayGgR-WeoCvQ,38.3M,-,United States,,11.5M,,theellenshow,38300000,23369384176,17352
25,Tips Official @UCJrDMFOdv1I2k8n9oK_V21w,56.5M,-,India,,17M,UCtW7qWjpCZ8zps-Cf2NF26w,tips official,69600000,41850564223,6502
85,Total Gaming @UC5c9VlYTSvBSCaoMu_GI6gQ,33.6M,0.2%,India,Video Gaming,10.1M,,total gaming,43700000,4577191857,516
65,Toys and Colors @UCgFXm4TI8htWmCyJ6cVPG_A,38.3M,-,United States,,11.5M,,toys and colors,64900000,77148644207,1349
88,VEGETTA777 @UCam8T03EOFBsNdR0thrFHdQ,33.5M,-,,,10.1M,,vegetta777,34100000,15916354926,8143
10,Vlad and Niki @UCvlE5gTbOvjiolFlEm-c_Ow,84.3M,-,United States,Marketing and Advertising Music,25.3M,UC_gV70G_Y51LTa3qhu8KiEA,vlad and niki,126000000,96529142958,775
50,Você Sabia? @UCj0O6W8yDuLg3iraAXKgCrQ,43M,-,Brazil,,12.9M,,você sabia?,45800000,8130460505,1691
9,WWE @UCJ5v_MCY6GNUBTO8-D3XoAg,91.2M,-,,,27.4M,UCRv76wLBC73jiP7LX4C3l8Q,wwe,105000000,88963562851,79779
67,WorkpointOfficial @UC3ZkCd7XtUREnjjt3cyY_gg,38.1M,-,Thailand,,11.4M,,workpointofficial,41700000,39624665154,90701
